Country,Region,length_flaccid,length_erect,circumf_flaccid,circumf_erect,volume_erect,volume_flaccid,Method,N,Source,growth_length,growth_circumf,growth_volume
Tunisia,Africa,9.9,14.61,10,12.36,177.61,78.78,Measured,462,Hospital of Sahloul (Sousse-Tunisia) 2015,1.475757576,1.236,2.25450622
Turkey,Western Asia,9.3,13.7,8.6,11.19,136.51,54.74,Measured,2276,Aslan et al. 2011 and H Söylemez. et al. 2011 and  Sengezer et al. 2002,1.47311828,1.301162791,2.49378882
Turkmenistan,Western Asia,9.2,13.48,8.2,10.65,121.67,49.23,Measured,96,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.465217391,1.298780488,2.471460492
United Arab Emirates,Western Asia,8.5,12.54,8.8,11.44,130.6,52.38,Self reported,496,https://www.surveymonkey.com - 2015,1.475294118,1.3,2.49331806
Ukraine,Europe,9.7,14.2,9.8,12.28,170.4,74.13,Self reported,175,https://www.surveymonkey.com - 2015,1.463917526,1.253061224,2.298664508
United Kingdom,Europe,9.7,14.3,9.8,12.22,169.93,74.13,Measured,1024,Khan S. Somani B.. Lam W. Donat R. 2012,1.474226804,1.246938776,2.292324295
United States,North America,9.6,14.15,9.7,12.23,168.42,71.88,Self reported,1661,Herbenick D.. Reece M. Schick V. Sanders SA. 2013,1.473958333,1.260824742,2.343071786
Uruguay,South America,9.2,14.67,9.8,12.57,184.46,70.31,Self reported,861,https://www.surveymonkey.com - 2015,1.594565217,1.282653061,2.623524392
Uzbekistan,Western Asia,9.1,13.43,9.2,11.92,151.85,61.29,Measured,236,Genital size measure survey 2015,1.475824176,1.295652174,2.477565671
"Venezuela, RB",South America,10.6,16.93,10.2,13.03,228.74,87.76,Measured,4610,D’Empaire. Prof. Gabriel Universidad de Venezuela. 1998,1.597169811,1.27745098,2.606426618
Vietnam,Southeast Asia,7.4,10.15,8.9,11.55,107.75,46.64,Measured,365,"Vietnam Urology- Dr. N.B. Trieu (VUNA), Hanoi, Vietnam 2015",1.371621622,1.297752809,2.310248714
"Yemen, Rep.",Western Asia,8.6,12.7,8.4,10.89,119.85,48.29,Measured,70,Lynn et al.. 2012. An examination of Rushton’s theory of differences in penis length,1.476744186,1.296428571,2.481880306
